ic,family,run,init,amp_K,lead_hr,stat,pole,value,p_hPa,r_km
axisym,dq_bl,sweepdqbl_2K_24h_init2025092200,2025092200,2.0,24,p95,lowlevel,0.012548,892.29,51.89
axisym,dq_bl,sweepdqbl_2K_24h_init2025092200,2025092200,2.0,24,p90,lowlevel,0.009265,875.75,60.09
axisym,dq_bl,sweepdqbl_2K_24h_init2025092200,2025092200,2.0,24,max,upperlevel,-0.02622,300.0,168.47
axisym,dq_bl,sweepdqbl_2K_24h_init2025092200,2025092200,2.0,24,p95,upperlevel,-0.010167,336.84,183.83
axisym,dq_bl,sweepdqbl_2K_24h_init2025092200,2025092200,2.0,24,p90,upperlevel,-0.008267,337.65,188.76
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025091700,2025091700,2.5,24,max,lowlevel,0.000322,850.0,38.72
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025091700,2025091700,2.5,24,p95,lowlevel,0.000203,819.27,47.93
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025091700,2025091700,2.5,24,p90,lowlevel,0.000165,836.73,64.2
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025091700,2025091700,2.5,24,max,upperlevel,-0.000445,250.0,256.19
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025091700,2025091700,2.5,24,p95,upperlevel,-0.000248,317.56,201.64
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025091700,2025091700,2.5,24,p90,upperlevel,-0.000198,314.5,189.05
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092000,2025092000,2.5,24,max,lowlevel,0.090864,850.0,0.0
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092000,2025092000,2.5,24,p95,lowlevel,0.057247,824.58,44.86
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092000,2025092000,2.5,24,p90,lowlevel,0.038905,830.59,53.72
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092000,2025092000,2.5,24,max,upperlevel,-0.092571,400.0,156.77
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092000,2025092000,2.5,24,p95,upperlevel,-0.060514,349.66,136.82
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092000,2025092000,2.5,24,p90,upperlevel,-0.04871,348.8,149.53
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092100,2025092100,2.5,24,max,lowlevel,0.162226,700.0,84.35
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092100,2025092100,2.5,24,p95,lowlevel,0.109923,789.65,58.34
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092100,2025092100,2.5,24,p90,lowlevel,0.084057,793.88,66.05
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092100,2025092100,2.5,24,max,upperlevel,-0.16219,300.0,161.66
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092100,2025092100,2.5,24,p95,upperlevel,-0.092083,369.72,154.23
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092100,2025092100,2.5,24,p90,upperlevel,-0.072444,371.26,154.95
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092200,2025092200,2.5,24,max,lowlevel,0.02563,925.0,38.43
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092200,2025092200,2.5,24,p95,lowlevel,0.015687,892.28,51.87
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092200,2025092200,2.5,24,p90,lowlevel,0.011582,875.73,60.08
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092200,2025092200,2.5,24,max,upperlevel,-0.032636,300.0,168.47
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092200,2025092200,2.5,24,p95,upperlevel,-0.01265,337.48,183.34
axisym,dq_bl,sweepdqbl_2p5K_24h_init2025092200,2025092200,2.5,24,p90,upperlevel,-0.010281,337.64,188.86
axisym,dq_bl,sweepdqbl_3K_24h_init2025091700,2025091700,3.0,24,max,lowlevel,0.000393,850.0,38.72
axisym,dq_bl,sweepdqbl_3K_24h_init2025091700,2025091700,3.0,24,p95,lowlevel,0.000232,844.38,47.42
axisym,dq_bl,sweepdqbl_3K_24h_init2025091700,2025091700,3.0,24,p90,lowlevel,0.000189,849.08,63.37
axisym,dq_bl,sweepdqbl_3K_24h_init2025091700,2025091700,3.0,24,max,upperlevel,-0.000546,400.0,175.45
axisym,dq_bl,sweepdqbl_3K_24h_init2025091700,2025091700,3.0,24,p95,upperlevel,-0.000347,292.85,184.77
axisym,dq_bl,sweepdqbl_3K_24h_init2025091700,2025091700,3.0,24,p90,upperlevel,-0.000279,300.28,178.6
axisym,dq_bl,sweepdqbl_3K_24h_init2025092000,2025092000,3.0,24,max,lowlevel,0.108956,850.0,0.0
axisym,dq_bl,sweepdqbl_3K_24h_init2025092000,2025092000,3.0,24,p95,lowlevel,0.068543,824.81,44.85
axisym,dq_bl,sweepdqbl_3K_24h_init2025092000,2025092000,3.0,24,p90,lowlevel,0.046559,830.9,53.69
axisym,dq_bl,sweepdqbl_3K_24h_init2025092000,2025092000,3.0,24,max,upperlevel,-0.110369,400.0,156.77
axisym,dq_bl,sweepdqbl_3K_24h_init2025092000,2025092000,3.0,24,p95,upperlevel,-0.072535,348.77,136.41
axisym,dq_bl,sweepdqbl_3K_24h_init2025092000,2025092000,3.0,24,p90,upperlevel,-0.058417,348.8,149.75
axisym,dq_bl,sweepdqbl_3K_24h_init2025092100,2025092100,3.0,24,max,lowlevel,0.20107,700.0,84.35
axisym,dq_bl,sweepdqbl_3K_24h_init2025092100,2025092100,3.0,24,p95,lowlevel,0.133926,789.16,58.47
axisym,dq_bl,sweepdqbl_3K_24h_init2025092100,2025092100,3.0,24,p90,lowlevel,0.102369,793.06,66.2
axisym,dq_bl,sweepdqbl_3K_24h_init2025092100,2025092100,3.0,24,max,upperlevel,-0.196796,300.0,161.66
axisym,dq_bl,sweepdqbl_3K_24h_init2025092100,2025092100,3.0,24,p95,upperlevel,-0.111332,371.54,152.79
axisym,dq_bl,sweepdqbl_3K_24h_init2025092100,2025092100,3.0,24,p90,upperlevel,-0.087736,371.95,153.57
axisym,dq_bl,sweepdqbl_3K_24h_init2025092200,2025092200,3.0,24,max,lowlevel,0.030729,925.0,38.43
axisym,dq_bl,sweepdqbl_3K_24h_init2025092200,2025092200,3.0,24,p95,lowlevel,0.018813,892.27,51.86
axisym,dq_bl,sweepdqbl_3K_24h_init2025092200,2025092200,3.0,24,p90,lowlevel,0.013893,875.67,60.08
axisym,dq_bl,sweepdqbl_3K_24h_init2025092200,2025092200,3.0,24,max,upperlevel,-0.039042,300.0,168.47
axisym,dq_bl,sweepdqbl_3K_24h_init2025092200,2025092200,3.0,24,p95,upperlevel,-0.015191,337.1,183.28
axisym,dq_bl,sweepdqbl_3K_24h_init2025092200,2025092200,3.0,24,p90,upperlevel,-0.012348,338.1,187.63
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025091700,2025091700,3.5,24,max,lowlevel,0.000444,850.0,38.72
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025091700,2025091700,3.5,24,p95,lowlevel,0.000266,838.26,46.64
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025091700,2025091700,3.5,24,p90,lowlevel,0.000215,843.86,63.02
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025091700,2025091700,3.5,24,max,upperlevel,-0.000539,250.0,256.19
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025091700,2025091700,3.5,24,p95,upperlevel,-0.000354,302.53,202.19
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025091700,2025091700,3.5,24,p90,upperlevel,-0.000278,303.41,190.28
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092000,2025092000,3.5,24,max,lowlevel,0.126995,850.0,0.0
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092000,2025092000,3.5,24,p95,lowlevel,0.079783,825.03,44.83
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092000,2025092000,3.5,24,p90,lowlevel,0.054163,831.22,53.64
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092000,2025092000,3.5,24,max,upperlevel,-0.127842,400.0,156.77
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092000,2025092000,3.5,24,p95,upperlevel,-0.084465,347.9,136.0
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092000,2025092000,3.5,24,p90,upperlevel,-0.068063,347.46,149.78
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092100,2025092100,3.5,24,max,lowlevel,0.241955,700.0,84.35
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092100,2025092100,3.5,24,p95,lowlevel,0.158594,786.08,59.25
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092100,2025092100,3.5,24,p90,lowlevel,0.121147,791.6,66.49
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092100,2025092100,3.5,24,max,upperlevel,-0.232017,300.0,161.66
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092100,2025092100,3.5,24,p95,upperlevel,-0.130755,371.47,152.57
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092100,2025092100,3.5,24,p90,upperlevel,-0.103374,374.34,151.9
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092200,2025092200,3.5,24,max,lowlevel,0.035806,925.0,38.43
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092200,2025092200,3.5,24,p95,lowlevel,0.02192,892.27,51.4
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092200,2025092200,3.5,24,p90,lowlevel,0.016188,876.13,59.86
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092200,2025092200,3.5,24,max,upperlevel,-0.045592,300.0,168.47
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092200,2025092200,3.5,24,p95,upperlevel,-0.017769,336.69,183.76
axisym,dq_bl,sweepdqbl_3p5K_24h_init2025092200,2025092200,3.5,24,p90,upperlevel,-0.014441,338.16,187.63
axisym,dq_bl,sweepdqbl_4K_24h_init2025091700,2025091700,4.0,24,max,lowlevel,0.000545,850.0,38.72
axisym,dq_bl,sweepdqbl_4K_24h_init2025091700,2025091700,4.0,24,p95,lowlevel,0.00032,840.57,45.74
axisym,dq_bl,sweepdqbl_4K_24h_init2025091700,2025091700,4.0,24,p90,lowlevel,0.000255,843.2,59.85
axisym,dq_bl,sweepdqbl_4K_24h_init2025091700,2025091700,4.0,24,max,upperlevel,-0.000635,250.0,256.19
axisym,dq_bl,sweepdqbl_4K_24h_init2025091700,2025091700,4.0,24,p95,upperlevel,-0.000408,300.55,205.17
axisym,dq_bl,sweepdqbl_4K_24h_init2025091700,2025091700,4.0,24,p90,upperlevel,-0.000325,302.35,191.4
axisym,dq_bl,sweepdqbl_4K_24h_init2025092000,2025092000,4.0,24,max,lowlevel,0.144924,850.0,0.0
axisym,dq_bl,sweepdqbl_4K_24h_init2025092000,2025092000,4.0,24,p95,lowlevel,0.090934,825.28,44.82
axisym,dq_bl,sweepdqbl_4K_24h_init2025092000,2025092000,4.0,24,p90,lowlevel,0.061699,831.56,53.6
axisym,dq_bl,sweepdqbl_4K_24h_init2025092000,2025092000,4.0,24,max,upperlevel,-0.144627,400.0,156.77
axisym,dq_bl,sweepdqbl_4K_24h_init2025092000,2025092000,4.0,24,p95,upperlevel,-0.096254,346.92,135.77
axisym,dq_bl,sweepdqbl_4K_24h_init2025092000,2025092000,4.0,24,p90,upperlevel,-0.077624,346.61,149.55
axisym,dq_bl,sweepdqbl_4K_24h_init2025092100,2025092100,4.0,24,max,lowlevel,0.284614,700.0,84.35
axisym,dq_bl,sweepdqbl_4K_24h_init2025092100,2025092100,4.0,24,p95,lowlevel,0.183923,785.57,59.95
axisym,dq_bl,sweepdqbl_4K_24h_init2025092100,2025092100,4.0,24,p90,lowlevel,0.140302,790.16,66.69
axisym,dq_bl,sweepdqbl_4K_24h_init2025092100,2025092100,4.0,24,max,upperlevel,-0.267824,300.0,159.25
axisym,dq_bl,sweepdqbl_4K_24h_init2025092100,2025092100,4.0,24,p95,upperlevel,-0.150332,371.74,151.07
axisym,dq_bl,sweepdqbl_4K_24h_init2025092100,2025092100,4.0,24,p90,upperlevel,-0.119157,374.34,151.87
axisym,dq_bl,sweepdqbl_4K_24h_init2025092200,2025092200,4.0,24,max,lowlevel,0.040886,925.0,38.43
axisym,dq_bl,sweepdqbl_4K_24h_init2025092200,2025092200,4.0,24,p95,lowlevel,0.025029,892.27,51.39
axisym,dq_bl,sweepdqbl_4K_24h_init2025092200,2025092200,4.0,24,p90,lowlevel,0.018487,876.12,59.85
axisym,dq_bl,sweepdqbl_4K_24h_init2025092200,2025092200,4.0,24,max,upperlevel,-0.052052,300.0,168.47
axisym,dq_bl,sweepdqbl_4K_24h_init2025092200,2025092200,4.0,24,p95,upperlevel,-0.020295,336.7,183.74
axisym,dq_bl,sweepdqbl_4K_24h_init2025092200,2025092200,4.0,24,p90,upperlevel,-0.016497,338.15,187.61
